# Metric Evaluation
# Base Directory: /Users/matt/work/nemo/nemo-spinup-bench/data/50
# Mesh Mask: /Users/matt/work/nemo/nemo-spinup-bench/data/50/mesh_mask.nc
# Restart File: /Users/matt/work/nemo/nemo-spinup-bench/data/50/DINO_00576000_restart.nc
# Output Files:
#   - /Users/matt/work/nemo/nemo-spinup-bench/data/50/DINO_1y_grid_T.nc
#   - /Users/matt/work/nemo/nemo-spinup-bench/data/50/DINO_1m_To_1y_grid_T.nc
#   - /Users/matt/work/nemo/nemo-spinup-bench/data/50/DINO_1y_grid_U.nc
#   - /Users/matt/work/nemo/nemo-spinup-bench/data/50/DINO_1y_grid_V.nc
#
timestamp,check_density_from_file,temperature_500m_30NS_metric,temperature_BWbox_metric,temperature_DWbox_metric,ACC_Drake_metric,ACC_Drake_metric_2,NASTG_BSF_max,check_density_computed
0001-07-01 00:00:00,0.000716,11.658720,4.872464,5.510421,57.377180,57.377180,37.378233,0.016145
0002-07-01 00:00:00,0.000921,11.390039,4.950355,5.451375,68.071458,68.071458,50.268766,0.009057
0003-07-01 00:00:00,0.000648,11.211256,4.996923,5.415173,74.813727,74.813727,53.990269,0.008981
0004-07-01 00:00:00,0.000554,11.105895,5.032310,5.389295,81.037363,81.037363,53.633787,0.009328
0005-07-01 00:00:00,0.000547,11.041797,5.061466,5.369500,87.056451,87.056451,52.254636,0.009283
0006-07-01 00:00:00,0.000441,10.997968,5.086279,5.353846,93.018179,93.018179,50.671562,0.009557
0007-07-01 00:00:00,0.000477,10.963218,5.108088,5.341226,98.784706,98.784706,49.145973,0.009033
0008-07-01 00:00:00,0.000437,10.935904,5.127084,5.331021,106.416110,106.416110,47.708373,0.008807
0009-07-01 00:00:00,0.000408,10.915954,5.143374,5.322700,112.806084,112.806084,46.469279,0.008391
0010-07-01 00:00:00,0.000403,10.902933,5.157313,5.315754,118.079169,118.079169,45.379837,0.008274
0011-07-01 00:00:00,0.000385,10.896529,5.169131,5.309922,122.554310,122.554310,44.322347,0.008164
0012-07-01 00:00:00,0.000432,10.896397,5.178946,5.305153,126.708681,126.708681,43.528223,0.008004
0013-07-01 00:00:00,0.000356,10.901331,5.187003,5.301302,130.949419,130.949419,42.724789,0.007999
0014-07-01 00:00:00,0.000342,10.910019,5.193625,5.298199,134.779143,134.779143,41.949738,0.007601
0015-07-01 00:00:00,0.000349,10.921305,5.199122,5.295672,138.151068,138.151068,41.335277,0.007414
0016-07-01 00:00:00,0.000299,10.934366,5.203681,5.293606,141.351432,141.351432,40.786067,0.007150
0017-07-01 00:00:00,0.000286,10.948635,5.207430,5.291933,144.315286,144.315286,40.328650,0.006988
0018-07-01 00:00:00,0.000308,10.963701,5.210461,5.290599,147.076015,147.076015,39.952371,0.007018
0019-07-01 00:00:00,0.000356,10.979259,5.212857,5.289560,149.611244,149.611244,39.633704,0.007130
0020-07-01 00:00:00,0.000322,10.995247,5.214668,5.288815,151.896468,151.896468,39.345912,0.006977
0021-07-01 00:00:00,0.000308,11.011708,5.215941,5.288373,154.046278,154.046278,39.073244,0.006801
0022-07-01 00:00:00,0.000272,11.028690,5.216755,5.288235,156.017704,156.017704,38.811318,0.006770
0023-07-01 00:00:00,0.000340,11.046232,5.217181,5.288391,157.872621,157.872621,38.557984,0.006716
0024-07-01 00:00:00,0.000275,11.064310,5.217301,5.288813,159.613168,159.613168,38.313914,0.006772
0025-07-01 00:00:00,0.000268,11.082816,5.217184,5.289456,161.269004,161.269004,38.085050,0.006563
0026-07-01 00:00:00,0.000286,11.101574,5.216885,5.290272,162.837397,162.837397,37.873439,0.006407
0027-07-01 00:00:00,0.000302,11.120495,5.216439,5.291231,164.339318,164.339318,37.679772,0.006801
0028-07-01 00:00:00,0.000277,11.139465,5.215893,5.292305,165.758520,165.758520,37.503660,0.006468
0029-07-01 00:00:00,0.000281,11.158393,5.215285,5.293473,167.163142,167.163142,37.343502,0.006385
0030-07-01 00:00:00,0.000263,11.177121,5.214647,5.294697,168.544228,168.544228,37.198260,0.006435
0031-07-01 00:00:00,0.000245,11.195529,5.213987,5.295954,169.894281,169.894281,37.066791,0.006421
0032-07-01 00:00:00,0.000279,11.213520,5.213310,5.297222,171.201814,171.201814,36.949987,0.006416
0033-07-01 00:00:00,0.000281,11.231073,5.212615,5.298497,172.446188,172.446188,36.843917,0.006394
0034-07-01 00:00:00,0.000207,11.248221,5.211901,5.299785,173.615369,173.615369,36.748248,0.006428
0035-07-01 00:00:00,0.000306,11.265073,5.211164,5.301106,174.729645,174.729645,36.659813,0.006412
0036-07-01 00:00:00,0.000223,11.281729,5.210397,5.302483,175.749631,175.749631,36.574870,0.006489
0037-07-01 00:00:00,0.000257,11.298283,5.209599,5.303932,176.748542,176.748542,36.492283,0.006471
0038-07-01 00:00:00,0.000239,11.314786,5.208779,5.305458,177.729491,177.729491,36.411025,0.006254
0039-07-01 00:00:00,0.000252,11.331271,5.207928,5.307066,178.758540,178.758540,36.331370,0.006344
0040-07-01 00:00:00,0.000270,11.347701,5.207059,5.308745,179.722390,179.722390,36.252124,0.006295
0041-07-01 00:00:00,0.000317,11.363986,5.206178,5.310478,180.679281,180.679281,36.173769,0.006187
0042-07-01 00:00:00,0.000263,11.380082,5.205290,5.312252,181.598591,181.598591,36.095684,0.006279
0043-07-01 00:00:00,0.000290,11.395936,5.204395,5.314060,182.489659,182.489659,36.017354,0.006180
0044-07-01 00:00:00,0.000284,11.411575,5.203486,5.315909,183.359010,183.359010,35.937815,0.005914
0045-07-01 00:00:00,0.000266,11.426971,5.202566,5.317797,184.213537,184.213537,35.856433,0.005982
0046-07-01 00:00:00,0.000232,11.442132,5.201630,5.319730,185.046583,185.046583,35.772708,0.006011
0047-07-01 00:00:00,0.000241,11.457099,5.200671,5.321718,185.858188,185.858188,35.687438,0.005957
0048-07-01 00:00:00,0.000252,11.471891,5.199682,5.323766,186.655127,186.655127,35.603799,0.006122
0049-07-01 00:00:00,0.000241,11.486488,5.198671,5.325872,187.437532,187.437532,35.522923,0.006142
0050-07-01 00:00:00,0.000214,11.500883,5.197644,5.328033,188.198794,188.198794,35.445625,0.006241
